Functional Block ,Enclosure,Instance per,Prefix,interface_inst_name,counter name,CounterType,IMG Counter,priority(0 is highest),Group,Signalwidth,sub num(counter num per PFM),PH NEW,desc,comment,CMP_WITH_CSIM,,OWNER,,,,,
FQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_EMI,WORKLOAD,,0,0,1,4,0,Number of MPE issued EMI instructions.,,,,,,,,,
FQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_EMI_VS,,,,,,,,,,,,,,,,,
FQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_EMI_HS,,,,,,,,,,,,,,,,,
FQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_EMI_DS,,,,,,,,,,,,,,,,,
FQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_PSB_WR,WORKLOAD,,0,0,1,4,0,Number of MPE issued PSB_WR instructions.,,,,,,,,,
FQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_PSB_RD,WORKLOAD,,0,0,1,4,0,Number of MPE issued PSB_RD instructions.,,,,,,,,,
FQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_SMP,WORKLOAD,,0,0,1,4,0,Number of MPE issued SMP instructions.,,,,,,,,,
FQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_TAP,WORKLOAD,,0,0,1,4,0,Number of MPE issued TAP instructions.,,,,,,,,,
FQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_AF32,WORKLOAD,,0,0,1,4,1,Number of MPE issued AF32 instructions.,PH1 MAOXING ,,,,,,,,
FQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_CTRL,WORKLOAD,,0,0,1,4,1,Number of MPE issued CTRL instructions whether send to pipe or not.,,,,,,,,,
FQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_COND,WORKLOAD,,0,0,1,4,0,Number of MPE issued COND instructions.,,,,,,,,,
FQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_COND_OLCHK,,,,,,,,,,,,,,,,,
FQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_COND_BAR,,,,,,,,,,,,,,,,,
FQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_COND_MUTEX,,,,,,,,,,,,,,,,,
FQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_ASYNCB,WORKLOAD,,0,0,1,4,1,Number of MPE issued ASYNCB instructions.,,,,,,,,,
FQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_FP64,WORKLOAD,,0,0,1,4,0,Number of MPE issued FP64 instructions.,PH1 4LANE (4MUL OR 4ADD),,,,,,,,
FQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_TCE,WORKLOAD,,0,0,1,4,1,Number of MPE issued TCE instructions.,,,,,,,,,
FQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_ID,WORKLOAD,,0,0,1,4,0,"Number of MPE issued consumed by InstrDecoder including deactive, instr miss , brach instruction and so on",,,,,,,,,
FQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_TME,WORKLOAD,,0,0,1,4,1,Number of MPE issued TME instructions.,,,,,,,,,
FQ,MP,MPE,,,MPE{N}_ISSUE_RTIX,,,,,,,,,,,,,,,,,
FQ,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ISSUE_LMA,WORKLOAD,,0,0,1,4,1,Number of MPE issued LMA instructions.,,,,,,,,,
ICTRL,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ICTRL_ACTIVE_CYCLES,WORKLOAD,,0,0,1,4,0,Count when MPE instr controller active. 2 PAP instruction or 1 instruction. It can be replaced by USC_ISSUE_SLOT_NUM. So in here it means ICTRL busy cycle.,,,,,,,,,
ICTRL,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_L0_ICACHE_LINES_MISS,WORKLOAD,,0,0,1,4,1,icache miss and icache filled should be the same? ,,,,,,,,,
ICTRL,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_L0_ICACHE_REQ_HIT_ON_MISS,,,,,,,,TO find out if L0 miss panelty is tolerable?,,,,,,,,,
ICTRL,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_L0_ICACHE_REQ_TOTAL,,,,,,,,TOATL REQUST FOR MISS RATE ,,,,,,,,,
ICTRL,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_L0_ICACHE_REQ_HIT_ON_PREFETCH,,,,,,,,,SEVERAL GROUP DATA UNIQUE.,,,,,,,,
ICTRL,,,,,MPE{N}_L0_ICACHE_REQ_PREFETCH_MISS,,,,,,,,,,,,,,,,,
MP,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_L0_ICACHE_LINES_FILLED,WORKLOAD,,0,0,1,4,1,Number of cache lines requested by MPE ICTRL L0 ICACHE to L2 ICACHE,,,,,,,,,
WM,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NOISSUE_BY_PAP_PIPEFULL,CYCLE,,0,0,1,4,0,"Cycles wave unable to issue by pap pipe full, add by wave number blocked on the pipe per cycle. MPE max supports 24 wave32 in flight. Max increment per cycle is 24. (Add in wave mananger)",,,,,,,,,
WM,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NOISSUE_BY_SAP_PIPEFULL,CYCLE,,0,0,1,4,0,Cycles wave unable to issue by sap pipe full. MPE max supports 24 wave32 in flight. Max increment per cycle is 24.(Add in wave mananger),,,,,,,,,
WM,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NOISSUE_BY_MOV_PIPEFULL,CYCLE,,0,0,1,4,0,Cycles wave unable to issue by mov pipe full. MPE max supports 24 wave32 in flight. Max increment per cycle is 24.(Add in wave mananger),,,,,,,,,
WM,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NOISSUE_BY_LSU_PIPEFULL,CYCLE,,0,0,1,4,1,Cycles wave unable to issue by LSU pipe full. MPE max supports 24 wave32 in flight. Max increment per cycle is 24.(Add in wave mananger),,,,,,,,,
WM,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NOISSUE_BY_EMI_PIPEFULL,CYCLE,,0,0,1,4,0,Cycles wave unable to issue by emi pipe full. MPE max supports 24 wave32 in flight. Max increment per cycle is 24.(Add in wave mananger),,,,,,,,,
WM,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NOISSUE_BY_SMP_PIPEFULL,CYCLE,,0,0,1,4,0,Cycles wave unable to issue by smp pipe full. MPE max supports 24 wave32 in flight. Max increment per cycle is 24.(Add in wave mananger),,,,,,,,,
WM,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NOISSUE_BY_PSB_PIPEFULL,CYCLE,,0,0,1,4,0,Cycles wave unable to issue by psb wr or rd pipe full. MPE max supports 24 wave32 in flight. Max increment per cycle is 24.(Add in wave mananger),,,,,,,,,
WM,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NOISSUE_BY_AF32_PIPEFULL,CYCLE,,0,0,1,4,0,Cycles wave unable to issue by af32 pipe full. MPE max supports 24 wave32 in flight. Max increment per cycle is 24.(Add in wave mananger),,,,,,,,,
WM,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NOISSUE_BY_FP64_PIPEFULL,CYCLE,,0,0,1,4,0,Cycles wave unable to issue by fp64 pipe full. MPE max supports 24 wave32 in flight. Max increment per cycle is 24.(Add in wave mananger),,,,,,,,,
WM,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NOISSUE_BY_TCE_PIPEFULL,CYCLE,,0,0,1,4,1,Cycles wave unable to issue by TCE pipe full. MPE max supports 24 wave32 in flight. Max increment per cycle is 24.(Add in wave mananger),,,,,,,,,
WM,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NOISSUE_BY_TME_PIPEFULL,CYCLE,,0,0,1,4,1,Cycles wave unable to issue by TME pipe full. MPE max supports 24 wave32 in flight. Max increment per cycle is 24.(Add in wave mananger),,,,,,,,,
WM,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NOISSUE_BY_LMA_PIPEFULL,CYCLE,,0,0,1,4,1,Cycles wave unable to issue by LMA pipe full. MPE max supports 24 wave32 in flight. Max increment per cycle is 24.(Add in wave mananger),,,,,,,,,
,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NOISSUE_BY_DEU_PIPEFULL,,,,,,,,,,,,,,,,,
WM,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NOISSUE_BY_PIPEFULL,CYCLE,,0,0,1,4,0,Cycles wave unable to issue by pipe full. MPE max supports 24 wave32 in flight. Max increment per cycle is 24.(Add in wave mananger)( any of execution pipeline full leads to this counting.),,,,,,,,,
WM,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NOISSUE_BY_ASYNC,CYCLE,,0,0,1,4,1,Cycles wave unable to issue by barrier or mutex. MPE max supports 24 wave32 in flight. Max increment per cycle is 24.(Add in wave mananger),,,,,,,,,
,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NOISSUE_BY_WGC_BARRIER,,,,,,,,,,,,,,,,,
WM,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NOISSUE_BY_NOINSTR,CYCLE,,0,0,1,4,0,Cycles wave unable to issue by no instrs (L0 Icache miss)(Add in wave mananger),,,,,,,,,
WM,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NOISSUE_BY_PIXEL_CHECK,CYCLE,,0,0,1,4,0,"Cycles wave unable to issue by OUTPUT BUFFER or  pass group, overlap dependency check. MPE max supports 24 wave32 in flight. Max increment per cycle is 24.",,,,,,,,,
WM,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NOISSUE_BY_DSF_NOT_ZERO,CYCLE,,0,0,1,4,0,Cycles wave unable to issue by long latency dependency. MPE max supports 24 wave32 in flight. Max increment per cycle is 24.,,,,,,,,,
WM,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NOISSUE_BY_NDSF_REUSE,CYCLE,,0,0,1,4,0,Cycles wave unable to issue by NDSF ready for set. MPE max supports 24 wave32 in flight. Max increment per cycle is 24.,,,,,,,,,
WM,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NOISSUE_BY_DSF_MAX,CYCLE,,0,0,1,4,0,Cycles wave unable to issue by DSF not max. MPE max supports 24 wave32 in flight. Max increment per cycle is 24.,,,,,,,,,
WM,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NOISSUE_BY_NDSF_MAX,CYCLE,,0,0,1,4,0,Cycles wave unable to issue by NDSF not max. MPE max supports 24 wave32 in flight. Max increment per cycle is 24.,,,,,,,,,
WM,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NOISSUE_BY_IC_FULL,CYCLE,,0,0,1,4,0,Cycles wave unable to issue by cache full. MPE max supports 24 wave32 in flight. Max increment per cycle is 24.,,,,,,,,,
WM,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NOISSUE_BY_RUNNING,CYCLE,,0,0,1,4,0,Cycles wave unable to issue by wave in running. MPE max supports 24 wave32 in flight. Max increment per cycle is 24.,,,,,,,,,
WM,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NOISSUE_BY_MISC,CYCLE,,0,0,1,4,0,Cycles wave unable to issue by other reasons. MPE max supports 24 wave32 in flight. Max increment per cycle is 24. wave in running but not issue by other reason.,,,,,,,,,
WM,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NOISSUE_BY_SCHED,CYCLE,,0,0,1,4,0,"Cycles wave unable to issue but not been issued. MPE max supports 24 wave32 in flight. Max increment per cycle is 24. wave in active status and will be emitted, but this wave has not been issued this cycle",,,,,,,,,
WM,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_NOISSUE_BY_MUTEX_LOCK{MP|MPE|GLOBAL|SQUAD},,,,,,,,,,,,,,,,,
ICTRL,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_REPLAY_BY_NOINST,WORKLOAD,,0,0,1,4,0,Cycles wave unable to issue in ICTRL (replay) by no inst. 1 cycle only process 1 instr. So max incr is 1. (add in ictrl),,,,,,,,,
ICTRL,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_REPLAY_BY_PIPEFULL,WORKLOAD,,0,0,1,4,0,Cycles wave unable to issue (replay) by pipefull. 1 cycle only process 1 instr. So max incr is 1. (add in ictrl),,,,,,,,,
ICTRL,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_REPLAY_BY_OB,WORKLOAD,,0,0,1,4,0,Cycles wave unable to issue (replay) by output buffer. 1 cycle only process 1 instr. So max incr is 1. (add in ictrl),,,,,,,,,
ICTRL,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_REPLAY_BY_PASSGROUP,WORKLOAD,,0,0,1,4,0,Cycles wave unable to issue (replay) by passgroup. 1 cycle only process 1 instr. So max incr is 1. (add in ictrl),,,,,,,,,
ICTRL,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_REPLAY_BY_DSF_NOT_ZERO,WORKLOAD,,0,0,1,4,0,Cycles wave unable to issue (replay) by long latency dependency. 1 cycle only process 1 instr. So max incr is 1. (add in ictrl),,,,,,,,,
ICTRL,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_REPLAY_BY_NDSF_REUSE,WORKLOAD,,0,0,1,4,0,Cycles wave unable to issue (replay) by NDSF ready for set. 1 cycle only process 1 instr. So max incr is 1. (add in ictrl),,,,,,,,,
ICTRL,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_REPLAY_BY_DSF_MAX,WORKLOAD,,0,0,1,4,0,Cycles wave unable to issue (replay) by  DSF not max. 1 cycle only process 1 instr. So max incr is 1. (add in ictrl),,,,,,,,,
ICTRL,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_REPLAY_BY_NDSF_MAX,WORKLOAD,,0,0,1,4,0,Cycles wave unable to issue (replay) by NDSF not max. 1 cycle only process 1 instr. So max incr is 1. (add in ictrl),,,,,,,,,
ICTRL,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ICTRL_MUTEX_LOCK_CYCLE_SQUAD,,,,,,,,,,,,,,,,,
ICTRL,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ICTRL_MUTEX_LOCK_CYCLE_MPE,,,,,,,,,,,,,,,,,
ICTRL,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ICTRL_MUTEX_LOCK_CYCLE_MP,,,,,,,,,,,,,,,,,
ICTRL,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_ICTRL_MUTEX_LOCK_CYCLE_GLOBAL,,,,,,,,,,,,,,,,,
US,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_US_RD_REQ,WORKLOAD,,0,0,1,4,0,"Number of MPE unified storage request to translate virtual addr to physical addr  number, sum of all banks.  Per MPE has 4us, each us has 4bank. Max incr is 16",,,,,,,,,
US,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_US{0-3}_BANK{0-3}_RD_REQ,,,,,,,,,FOR access balance check?,,,,,,,,
US,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_US_WR_REQ,WORKLOAD,,0,0,1,4,0,"Number of MPE unified storage write request number, sum of all banks  Per MPE has 4us, each us has 4bank. Max incr is 16",,,,,,,,,
US,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_US{0-3}_BANK{0-3}_WR_REQ,,,,,,,,,,,,,,,,,
IS,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_IS_RD_REQ,WORKLOAD,,0,0,1,4,0,at lease one instance operate irs read happens at this cycle,"each MPE has two irs, so this event need or_reduce in MPE level",TRUE,,xiaojie.geng,,,,,
IS,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_IS_WR_REQ,WORKLOAD,,0,0,1,4,0,at lease one instance operate irs write happens at this cycle,"each MPE has two irs, so this event need or_reduce in MPE level",TRUE,,xiaojie.geng,,,,,
SR,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_SL_RD_REQ,WORKLOAD,,0,0,1,4,1,Number of Slot register read request number,,,,,,,,,
SR,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_SL_WR_REQ,WORKLOAD,,0,0,1,4,1,Number of slot register write request number,,,,,,,,,
CR,MP,MPE,CORE{m}_SPU{n}_MP{i},,MPE{N}_CF_WR_REQ,WORKLOAD,,0,0,1,4,0,MPE coefficient storage write request number,,,,,,,,,
